unique_id,q0.05,q0.1,q0.25,q0.5,q0.75,q0.9,q0.95,reconciled_median,bottomup_median,level,spend,roas_q0.05,roas_q0.1,roas_q0.25,roas_q0.5,roas_q0.75,roas_q0.9,roas_q0.95,roas_reconciled_median,horizon_days,max_abs_coherence_error
total,276795.54011174355,290150.926254858,362517.9453817608,487534.90364223666,487534.90364223666,532506.2331689994,565907.270719968,487534.90364223666,487534.903642237,total,99627.36440142857,2.778308367131456,2.9123617592226245,3.6387386895137275,4.893584273471414,4.893584273471414,5.3449796285222595,5.68023930091895,4.893584273471414,30,0.0
total/bing,0.0,0.0,0.0,5860.779801423424,5860.779801423424,5860.779801423424,6610.43044490302,5860.779801423424,5860.779801423428,channel,1053.9964285714284,0.0,0.0,0.0,5.560530987156229,5.560530987156229,5.560530987156229,6.271776891941372,5.560530987156229,30,0.0
total/google,198158.98977755732,266706.512524635,332012.0272808319,400637.64203540754,400637.64203540754,418236.9840013878,441263.99746723933,400637.64203540754,400637.64203540777,channel,85798.5751167857,2.3095836907294904,3.1085191352141273,3.8696683112616963,4.669513934119245,4.669513934119245,4.874637876352839,5.143022443748138,4.669513934119245,30,0.0
total/meta,6188.515581343861,18416.066394759087,41435.58339099177,81036.48180540568,81036.48180540568,124136.13618291797,148146.5734687086,81036.48180540568,81036.48180540573,channel,12774.79285607143,0.4844317752207362,1.4415941301158985,3.243542486976517,6.343467382869677,6.343467382869677,9.717271941824109,11.596788702393676,6.343467382869677,30,0.0
total/bing/Search,0.0,0.0,3200.7939059793543,5860.779801423424,8793.38339733839,13379.819960772063,17480.48541455117,5860.779801423424,5860.779801423428,campaign_type,1053.9964285714284,0.0,0.0,3.036816652517186,5.560530987156229,8.342896767930053,12.694369352756611,16.584956970152138,5.560530987156229,30,0.0
total/google/DEMAND_GEN,0.0,0.0,0.0,2151.604538482,3824.830020899638,4218.268177207476,4360.960869477942,2151.604538482,2151.6045384819927,campaign_type,792.9896249999999,0.0,0.0,0.0,2.713282079172221,4.823303988245292,5.319449390283607,5.499392087857318,2.713282079172221,30,0.0
total/google/PERFORMANCE_MAX,123923.31939640145,179390.36347447973,204322.67593261463,244408.5519194358,260133.4487060421,272589.4610225008,280254.668104415,244408.5519194358,244408.55191943594,campaign_type,53251.65113142857,2.3271263287320534,3.368728662172982,3.8369265852120313,4.589689647673449,4.8849837174816555,5.1188921888963055,5.2628352764635995,4.589689647673449,30,0.0
total/google/SEARCH,60159.9514947866,75174.18522756331,95171.57107677782,106324.07471474956,124877.55024929966,138002.75673767077,212145.9756672663,106324.07471474956,106324.07471474967,campaign_type,19930.259394642857,3.0185232566996723,3.771861857842639,4.775229925123775,5.3348063670124075,6.2657262896872306,6.924283021362238,10.644416184783323,5.3348063670124075,30,0.0
total/google/SHOPPING,33053.77341220916,35259.964834286766,39692.86048718708,47062.03058684171,107715.67968936262,254728.85223134764,291462.7111866953,47062.03058684171,47062.03058684168,campaign_type,10588.017857142868,3.121809375294025,3.330176177451359,3.748847142377037,4.444838611137477,10.173356443358818,24.0582189856719,27.527599133209748,4.444838611137477,30,0.0
total/google/VIDEO,0.0,0.0,0.0,691.3802758983786,875.6784866301218,1793.7241969897232,1820.435814183905,691.3802758983786,691.3802758983768,campaign_type,1235.6571085714288,0.0,0.0,0.0,0.5595243786504001,0.7086743406045012,1.4516358822744024,1.47325322013366,0.5595243786504001,30,0.0
total/meta/brand,0.0,0.0,0.0,2817.516926049012,4173.801745411749,4411.210966198413,4418.60750221463,2817.516926049012,2817.516926049012,campaign_type,2541.964285714286,0.0,0.0,0.0,1.1084014601949046,1.6419592395016362,1.7353552097443705,1.7382649815526467,1.1084014601949046,30,0.0
total/meta/prospecting,6605.146631734286,18635.66856514659,31666.49709249221,38701.90130051809,48898.82294600158,64412.57301144972,71272.14610469062,38701.90130051809,38701.90130051812,campaign_type,6408.6642825,1.0306588612810965,2.9078865335534276,4.941200802008497,6.038996520101783,7.630111485091914,10.050857740721375,11.121216990459606,6.038996520101783,30,0.0
